stage	input	calculation	output
rejected_english_romanisation	S19=尤; final must be English; Hint 6 uses pinyin	romanise surname 尤	YOU (rejected)
rejected_flavor_check	我这一生只会为你停留一次，只有这一分钟。	read 为你 in the final answer language	for YOU (rejected with candidate)
rejected_coordinate_lookup	coordinate=44	S44	葛 (rejected; coordinate-subscript branch stopped)
rejected_number	cell=19; maze-post likes=19	write 19 as digits or an English cardinal	19 / NINETEEN (both rejected)
thematic_control	footless-bird line; title Carpe Diem	death / Memento Mori association	死/死亡/MEMENTO MORI (thematic only)
rejected_wall_state	two old non-target captures enclose (4,4)-(4,5)	extrapolate and lexicalize generically	CAGED BIRD rejected
target_wall_fit	10 read-only samples cover the target residues of periods 2/3/4/5/7/10	fit all 60 unit edges independently	37 target walls; ambiguous_edges=0
target_bird_walls	target BIRD=(4,4)	read exact N/E/S/W wall bits	north=1,east=0,south=1,west=1
target_bird_component	start at (4,4) and follow every open edge	connected component	(4, 4) -> (4, 5); six outer boundary walls present
object_word	second famous line specifies 鸟	translate the selected object	BIRD
target_colour	target photo1 colour=蓝; visible bird emoji is also blue	translate 蓝	BLUE
rainbow_carrier	photo1 cycles through 赤橙黄绿青蓝紫	identify the standard seven-colour set	RAINBOW
rejected_rainbow_answer	BLUE BIRD flies over R; expand R by the colour carrier	visual rebus	OVER THE RAINBOW (rejected)
target_photo4	鸡+亠精/乐+娇亚/咪-油?	one-based arithmetic control	values=(12, 7, 2); row2 right=亚
rejected_geography	5×5 centre=(3, 3); bird=(4,4); photo4 row2 right=亚	SOUTHEAST + ASIA	SOUTHEAST ASIA (rejected)
rejected_suffix_compositions	cell 19=S	BLUE + S; BIRD + S	BLUES / BIRDS (both rejected)
rejected_direct_compound	target colour BLUE + selected object BIRD	BLUE + BIRD	BLUEBIRD (rejected)
rejected_music	coordinate=(4,4)	read as a 4/4 time signature	COMMON TIME (rejected)
rejected_conditional_horse	retained knight-walk anchors allow 12 target cells	add one-animal-per-row constraint	(2,3)→H (not forced by the horse data)
rejected_conditional_house	conditional horse=H plus E/O/U/S from the recovered tracks	A-Y cells, then reorder	HOUSE (unsupported intermediate; do not submit)
rejected_animal_compound	famous-line object BIRD + conditional grid word HOUSE	BIRD + HOUSE	BIRDHOUSE (rejected; whole animal-grid compound family stopped)
rejected_like_compound	maze post action is WHITE HEART ICON; fixed likes=19	read the heart as LOVE and append BIRD	LOVEBIRD (rejected; 19 likes is numbering check only)
rejected_time_square	bird coordinate=(4,4); target month/day=4/16	TIME + S + SQUARE; 4×4=16	TIMES SQUARE (rejected; A1Z26 and numeric pun stopped)
rejected_dead_end	two retained wall captures at E=-2988 and E=-2343	(4,4) opens east only; graph degree=1 in both	DEAD END rejected; later exact fit confirms the degree but does not restore the death reading
current_candidate	BIRD lies inside a closed maze cell	maze cell -> jail cell; bird in jail	JAILBIRD
